柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
當前	dāngqián	current	很可能是當前，在有效消除發展中國家貧困現象的這一領域上
戒備	jièbèi	Alert	她竟然在戒備著我, 這簡直是難以置信!
歌唱	gēchàng	sing	你可以再說一次嗎？你最喜歡哪個歌唱團體？
瑣碎	suǒsuì	trivial	他也從來沒有屈服於自己的嫉妒心或是被瑣碎的壞情緒所控制.
開幕	kāimù	Opening	在這個平台開幕的前一、二天，朱利安尼剛好發表了他的卸任演說，
無比	wúbǐ	Very	很少人能夠結合這些後自成一格，也是最重要的事情，感到無比的自信，並將它放在一個組合中，然後去承擔一些瘋狂的風險。
悶	mēn	stuffy	否則當我們在那裡時，就只有潮濕，沉悶，寒冷，一片漆黑。
收益	shōuyì	earnings	在這故事裡，創作者是收益分成的佃農。(佃農係指以部分濃產品當為租地資金的農民)
烏鴉	wūyā	crow	牠們很習慣後，我們對回來的烏鴉採取進一步行動
踏實	tàshí	Practical	能夠腳踏實地的執行，而不是停留在紙上談兵
功利	gōnglì	material gain	這是一個功利主義的道德框架。
山脈	shānmài	mountain range	加拿大洛磯山脈的格拉西湖附近拍下的 — 所有照片都是在這裏拍下的。
主軸	zhŭzhóu	spindle	必須建立民主軸心同盟以對抗社會主義，
氣管	qìguăn	trachea	所以，假設一個因肺結核生命垂危的西班牙裔的女子得到一個捐贈的氣管
參謀	cānmóu	staff officer	那不是我說的。是美國前參謀首長鮑爾說的。
刊登	kāndēng	publish	但是, 誰在乎呢? 我並不想要在紐約客雜誌裡刊登廣告
多元	duōyuán	multivariant	我們的目標是一個快樂而多元的、安全的、健康的及正義的世界，
運	yùn	fortune	不具科技背景，不具生物學背景的業餘者運用了電玩，使他們可以用視覺去重新排列蛋白質的結構，
大選	dàxuăn	general election	——當然，同時要擴大選擇範圍，並且要評估風險——
淘汰	táotài	eliminate	我不知道我是否想生活在一個知識被淘汰的世界裡。
體操	tǐcāo	gymnastics	全部是由軟體操作，所以不會有人聽到你的留言；
圍牆	wéiqiáng	wall	士兵坐在沙包圍牆的角落裡擠成一團,邊顫抖邊尖叫.
勸告	quàngào	expostulate	我說，我一向都這麼勸告--請別這麼做，這不大好
費力	fèilì	Laborious	一天傍晚，他問「你們費力修了這麼多外在的東西，」
自豪	zìháo	pride	我們努力的教育我們的孩子要以他們的傳統自豪，但其實非常困難。
拿	ná	take	所有的家長都坐在停車場吃從後車廂拿出來的食物 -- 只有英國人 -- 吃臘腸。他們好愛吃臘腸（笑聲）
將軍	jiāngjūn	checkmate	那是引自謝爾曼將軍（南北戰爭的北軍將領）給格蘭特總統（南北戰爭北軍司令，總統）的一段話，
適宜	shìyí	suitable	和其他使火星適宜生存的一切資源，都可能已經在火星上了。
體格	tǐgé	physique	關於某個體格的謊 但是差別都只是一點點
罪名	zuìmíng	accusation	而竊取我們孩子的未來在將來也必定成為一種罪名
首府	shǒufŭ	Capital	我住在田納西的首府納什維爾，美國醫療保健之都。
暗暗	ànàn	secretly	我媽媽竟然跟我, 暗暗地慶祝我的生日。
格局	géjú	pattern	我可以改變這些磁通量子的位置，它會被鎖定在新的格局裡。
注定	zhùdìng	Doomed	卻被防蚊子的房子關起來,沒蚊子,那麼你注定是一個失敗者。
設	shè	establish	包括那個站在前面的女士們，他們編寫了大部分的代碼。所有的這一幫人是歷史上第一批程式設計師。
彩繪	căihuì	Painting	[畫面字幕]彩繪市容&人人平等
型態	xíntài	type	就你們所知，當我們去工作，且生活型態不斷在改變的同時，
僱用	gùyòng	employ	他終於僱用了這個孩子，而這個孩子也真的成功了
莊嚴	zhuāngyán	stately	處身在廣場內其他的 莊嚴魁偉的建築群中
痛恨	tònghèn	abhor	席勒爾抬起一條腿，說到，"如果有甚麼事情是你所痛恨的，
毅力	yìlì	perseverance	這些人的毅力使這片不宜居住的土地改頭換面。
陣營	zhènyíng	camp	弄得比右派陣營好(註：左派提倡自由，右派提倡集權)
隧道	suìdào	tunnel	我說，不要建築物; 那裡有個洞穴，我們挖隧道進去，
扇子	shànzi	fan	和前面一樣，這也是一個信手拈來，用我找到的一個小扇子做的
癌症	yánzhèng	cancer	今年五月，我將要在邁阿密的希爾維斯特癌症研究中心展開我的研究。
話劇	huàjù	Drama	讓我想起貝克特的一部話劇裡面的角色：
迫害	pòhài	persecute	迫害這回事本來就夠恐怖的，而如果迫害由你崇拜的英雄所為，
法定	fădìng	statutory	以宣稱所有權，製造財富，組織和法定財產。
人士	rénshì	personage	我和抗議人士走在一起，看著拿著"一個華爾街"、"佔領華爾街"牌子的人走來走去。
拋棄	pāoqì	abandon	後來當布魯客林.道奇隊拋棄我們投向洛杉磯城市的懷抱後,
饒	ráo	plentiful	我的感覺像是在猶太男孩成年禮現場，看著饒舌歌手在說唱
上好	shànghăo	Morning	主要網絡結點被駭。你也許會說要達到這些要求，必須要花上好幾年
清廉	qīnglián	incorruptness	公正清廉，有內在涵養的人。
創業	chuàngyè	entrepreneurship	把創業家朔造成英雄人物的是 “阿特拉斯擺脫重負” (又譯 “阿特拉斯聳聳肩”)．
合意	héyì	desirable	所以你要確定你選了合意的房子
命中	mìngzhōn	hit	但有一點我還不能肯定，即你我生命中是否都有一份非常重要的感情
撒謊	sāhuăng	lie	記者爲了從我這裏搞到一個故事或一張照片會對我撒謊，
法制	făzhì	Legal	第五，在他接觸少年司法制度的時候－每一個階段裏
烏龜	wūguī	One	你可以想像如果我們把烏龜的盔甲弄掉，她會多麼傷心？
心靈	xīnlíng	soul	這只是一種妥協,也因為如此我們把自己的心靈打開,給那些我們不知道的人
指南針	zhǐnánzhē	compass	他們就像是指南針一樣可以根據面向不同的方向而有不同的激發模式
令	lìng	cause	那是引自謝爾曼將軍（南北戰爭的北軍將領）給格蘭特總統（南北戰爭北軍司令，總統）的一段話，
刻薄	kèbó	Mean	對別人越來越尖酸刻薄
建造	jiànzào	build	並不是以一般嚴謹死板的方法來解答這個問題，而是直接建造一個結構模型。
戶口	hùkǒu	Account	我畫了有關海洋生物戶口普查的故事，
反之	fănzhī	contrarily	這對西方世界來說，也是不利的。反之，如果他們更快樂，對西方世界也是有益處的。
半成品	bànchéngp	Semi-finished product	所以這裡有一些半成品的馬
著重	zhuózhòn	emphasize	主要著重於「我該如何儲存這些數據，我該如何搜尋這個數據，我該如何處理這個數據？」
萬分	wànfēn	Extremely	目前地球上最好的技術可以產生的真空濃度的一百萬分之一還要小.
田徑	tiánjìng	track and field	但是下了田徑場，我希望自己也可以很有女人味，因為我覺得那很重要，
有為	yǒuwéi	promising	我們喜歡巴拉克．歐巴馬所說的事情，然而我們卻沒有為此採取任何行動。
寬闊	kuānkuò	broad	寬闊的車道讓汽車像地鐵一樣有快速的運輸能力。
熱水瓶	rèshuǐpíng	thermos	像是用熱水瓶繞著嬰兒的身體
存貨	cúnhuò	stocks	走進倉庫裡並從存貨中取一項貨品，
井	jǐng	well	這是一張早期的照片。你可以看到，我們有這些噴油井。
立體	lìtǐ	solid	這是史蒂夫、瑪麗和他們的同事一起繪製的一幅立體的紅杉樹冠層地圖，這棵樹叫“伊露維塔”（魔戒中的眾生之父），
行列	hángliè	ranks	音響是最後加入精進行列, 是因為我們的耳朵是非常難去欺騙的
抽象	chōuxiàng	abstract	順道一提，我從未搞懂為什麼抽象主義和自然主義之間會有衝突，
見證	jiànzhèng	witness	在近五十至六十年我們見證法西斯主義、反猶太主義、種族主義、種族隔離、
下列	xiàliè	following	我們的女兒看了一下列表，說，
安置	ānzhì	placement	而我已不知道要將牠們安置在哪些安全的地方了。
政權	zhèngquán	regime	他們會說 " 人民的力量只有在政權沒那麼嚴厲時才會發揮功效 "
本身	běnshēn	itself	就像是這些清潔人員知道在為他人服務時甚麼時後可以不用在意這項工作本身職能的要求一般的。
關照	guānzhào	care	給我們一個電話 -- 我們會關照你。」
說笑	shuōxiào	Joking	所以他們說：「不行，說笑而已。我們會再投票多一星期。」
坦克	tănkè	tank	之後當權者又來了，把牆塗上白漆, 保留了坦克車
出馬	chūmă	Horse	小弟真槍出馬，不容輕視利害。
動機	dòngjī	motivation	樂高機器人套件中的互動機器人菲比 -- 這邊有沒有人擁有菲比?
步驟	búzòu	steps	但如果你每次只做某一步驟，也許你就不會那麼在乎了。
樂隊	yuèduì	band	緊接著， 《去他的胡謅八扯，我們是性手槍》（英國朋克樂隊性手槍專輯名）問世，
探討	tàntăo	investigate	現在我們試著去探討，我們是否能夠重新打造生命，
與會	yŭhuì	Attend the meeting	所投入的專注力、參與程度與會議的成功與否。
時光	shíguāng	time	當我們開始探究快樂時光到底有多快樂的時候，快樂時光就結束了。
困境	kùnjìng	plight	以至於我們不知道他們已經陷入困境，而知道的時候往往已經太晚了。
事故	shìgù	accident	好象不管什麼事故發生他都會安然無恙嗎？但如果你看一下坐在後座的那個孩子，
當代	dāngdài	Contemporary	我是一個當代藝術家，我的作品在畫廊和博物館展出。
妨礙	fángài	hinder	那麼在我們知道如何運作的情況下,什麼會妨礙我們去實踐它呢？
觀摩	guānmó	Observe	然後我會邀請我的朋友來表演，讓當地的業餘演員觀摩，
手勢	shǒushì	gesture	是的，光線可以排列呈現-按你們比出來的手勢-它是個,圓錐形
條例	tiáolì	ordinance	規則條例與激勵方式只會在短期內讓事情變好，
吉祥	jíxiáng	auspicious	因此有人說，若要幫網際網路選定吉祥物的話，
趨勢	qūshì	trend	雖然我不敢保證投資報酬率會很高，但我相信它一定是未來的趨勢
班車	bānchē	Bus	我會把仿聲鳥放在夜班車上，去收集老人的鼾聲；
縮小	suōxiăo	shrink	因為這樣可以讓檔案容量大幅縮小，而這正是視網膜在進行的事
藥品	yàopǐn	pharmaceuticals	這個儀器是經過認證的，可以攜帶，已取得藥品管制局登記，
破產	pòchăn	insolvency	健康照護產業和往常一樣是破產的所以我們必須作點甚麼是不一樣的。
爭奪	zhēngduó	scramble	這些戰爭都是為了爭奪鈳鉭鐵礦、鑽石和其他礦石所引發的，
揪	jiū	pinch	令人揪心的照片，但是充滿了真實的情感
評價	píngjià	appraise	延長並且更愉快，人們普遍上對於生命會有更高的評價。
象徵	xiàngzhēn	symbol	測試延長慣性作用的時間，所以他們讓一個學生裝上象徵性的尾巴，
俘虜	fúlŭ	captive	所有被巴比倫人鎮壓 被俘虜的人
釣魚	diàoyú	fishing	釣魚線拖著一根繩子勾在樹上，然後他再沿著繩子爬上去，
寫作	xiězuò	writing	我最不願意做的就是與宗教有關的事情了，不管是寫作還是以其他的方式。
仁愛	rénài	kindheartedness	很多宗教人士更熱衷於爭論誰對誰錯，而不是如何施以仁愛之心(笑聲)
指引	zhǐyǐn	guidelines	而用地圖來指引方向，只是這些應用的其中之一。
發	fā	hair	克里斯•安德森：這何時能夠成真？對我們來說，這一切不再是只發生在實驗室或是只在舞台上示範？
旺盛	wàngshèng	exuberant	在生理週期正中央時達到巔峰，此時雌激素最旺盛，
架	jià	frame	今天，我們看到這種新的社會合作框架，已經出現在我們使用所有權和契約等最重要的經濟活動之中
給予	gěiyŭ	Give	如果每個人都應該跟別人不一樣的話，我們都在背負數十億人給予的沉重壓力，
助教	zhùjiào	tutor	就算到了那個時候，我仍想“好吧，或許它是不錯的輔助教材
嚮往	xiàngwăng	Yearning	沐浴愛河時，我們嚮往擁有，我們希望瞭解摯愛的那個人。
奴隸	núlì	slave	因為最便宜的能源來源就是奴隸制度。（若不用石油，只能用人力）
性情	xìngqíng	temperament	早安！我想人家讓我這個性情乖戾的東歐人
淨	jìng	clean	他想"如我把狗洗澡喜乾淨了,那這些蛆都會被我殺掉,那怎麼可以呢?"
狐疑	húyí	doubt	我就坐在那裏，有些狐疑的
著手	zhuóshǒu	commence	而剩下的我們也可以著手處理。因此我希望你們能看到這樣做的好處——
核子	hézǐ	nucleon	他去了布拉格，他說:"相信我們可以建立一個沒有核子武器的世界。"
脫手	tuōshǒu	Sell	然後在我閉氣的同時，還得掙脫手銬。
背誦	bèisòng	recite	雖然在我們的標本中沒有任何人能完整背誦出十誡
焦急	jiāojí	anxious	於是他感覺到以往的焦急又開始向他襲擊而來
款待	kuăndài	hospitality	友好幫助，無聲的信任和適宜的款待
建國	jiànguó	Founding	非常明顯的是，如果你注意一下建國者的歷史,
太空	tàikōng	space	你們都知道，成千上萬，甚至上百萬足以毀滅世界的大隕石，在外面太空的某處，
坦然	tănrán	calm	我就坐在這？坦然接受？我什麼都不能做嗎?
漸	jiàn	gradually	在牠們青少年的階段裡，牠們會成群結隊，成年之後就漸漸的成了巨大的獨行俠。
命名	mìngmín	christen	為了感謝他在尋找彗星領域的貢獻，有個彗星是用他的名字命名的。
憋	biē	hold	憋住氣並且放鬆，不讓任何空氣流失，
假若	jiăruò	if	當時我有一個想法:假若我可以實際上去講(這個故事)呢?
目擊	mùjí	Witnessed	新聞目擊者記者史黛西．塞赭今晚，和一個小而且可攜帶式的機器
扣除	kòuchú	deduct	然後扣除花費之後，債務問題就被解決了，一切都很順利。
殼	ké	shell	有可能正是利用這些流體動力為牠們的第二進能量去擊毀螺殼。
翌日	yìrì	Following	翌日，我如常上學，
洪水	hóngshuǐ	flood	用他的手指堵住堤防的裂縫，避免洪水淹沒荷蘭等等之類的事。
悶熱	mēnrè	sultry	當我坐在相當悶熱的旅館房間時
放逐	fàngzhú	banishment	她的地理，就是一張被家園放逐的地圖。
意味	yìwèi	meaning	屍體無法下葬，這在古希臘傳統之中就意味著赫克托的靈魂會一直遊蕩，不得安息
擔負	dānfù	responsibility	人道主義援助工作者知道他們所擔負的風險，
醫療	yīliáo	medical	致力於改善醫療品質，提昇水質及住房環境，以及能源替代方案等
長輩	zhàngbèi	Elders	因為當一個長輩去世，有如一個圖書館被焚毀。
偶而	ǒuér	Occasionally	或普通人偶而碰上可以大聲講話的時後，都是如此
人情	rénqíng	gift	「不，上將。你不能給我。我受過很多人情了。
自制	zìzhì	self-restraint	我認為我們需要 - 緩慢，小心，以智慧處理倫理議題，自制的 -
見解	jiànjiě	opinion	基斯.安達臣: 謝謝, 萊斯利 (張彤禾的英文名), 你這見解
累積	lèijī	cumulation	那並不是說你需要在學習托地與倒垃圾花很多的時間來累積經驗，
肌膚	jīfū	skin	以明亮的藍光盡可能地照遍寶寶的肌膚
熱量	rèliàng	Heat	且這些都在幾小時內就來了。這是個研究：一餐高熱量飯食後
施肥	shīféi	fertilize	然後如果你善加施肥，澆水，妥善地照顧這顆種子，
保佑	băoyòu	bless	克：不妨想成是，上天真的保佑了女王，所以你得到了應有的獎勵。
外線	wàixiàn	Outside	所以我想舉個例子，讓各位知道我們是如何用紅外線來進行另類觀測
衡量	héngliàng	measure	這些目標都是具體可衡量的、可以被加入到新目標之內
立國	lìguó	Founding	所以土耳其成為了鄂圖曼帝國倒台之後的唯一一個獨立國家
變遷	biànqiān	vicissitude	所以，當其他途徑都不通的時候，讓我們談一下全球氣候變遷的議題
黑社會	hēishèhuì	underworld	有時, 我又會遇到那些承諾不會加入黑社會
棄權	qìquán	abstention	我們當然不希望放棄權利
衍生	yănshēng	derive from	生命是由物理及化學伴隨著許多隨機的意外衍生出來.
防備	fángbèi	Preparedness	能夠有個不俱防備的心靈
流通	liútōng	circulate	所以如果你想要讓一種藥在市面流通，你可以去試試看，
公費	gōngfèi	Free	他可以將那些因為被領公費的暴行者
阻塞	zŭsè	clog	在今天，得了急性心肌阻塞的反應，即心臟病發時，我們做甚麼？
油	yóu	oil	他告訴我們，事實上，我們所花的石油美金--納稅人的錢--每三塊就有兩塊被浪費掉或是被偷。
遙遠	yáoyuăn	faraway	不可思議的地方。它是那麼特別，那麼遙遠，但又和地球有著驚人的相似處。
情緒	qíngxù	sentiment	第二個缺點是正面情緒具有習慣性，它很快的會變成習慣而不再有吸引力
過目	guòmù	over-the-eye	你可以有欲望或是目標。有多少人設立過目標
體質	tǐzhí	physique	它們是你的體質傾向，但如果我們做出更大的改變，
